,name,marketshare,jurisdiction_alpha2,measurement_scope,market,date
122,WPX Hosting,0.0002,BG,top_10k,dns_servers,2021-01-01 00:06:00
123,Pair Networks,0.0002,US,top_10k,dns_servers,2021-01-01 00:06:00
124,cdmon,0.0002,ES,top_10k,dns_servers,2021-01-01 00:06:00
125,SiteSell,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
126,StackPath,0.0002,US,top_10k,dns_servers,2021-01-01 00:06:00
127,Mail.Ru,0.0002,RU,top_10k,dns_servers,2021-01-01 00:06:00
128,Liberty Global Group,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
131,ironDNS,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
132,NetEase,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
133,TimeWeb,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
134,Hosting Ukraine,0.0001,UA,top_10k,dns_servers,2021-01-01 00:06:00
135,Squarespace,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
136,One.com,0.0001,DK,top_10k,dns_servers,2021-01-01 00:06:00
137,Masterhost,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
138,FirstVDS,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
139,Mizbanfa,0.0001,IR,top_10k,dns_servers,2021-01-01 00:06:00
140,Internet Hosting Center,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
141,BanaHosting,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
142,Webempresa,0.0001,ES,top_10k,dns_servers,2021-01-01 00:06:00
143,Dinahosting,0.0001,ES,top_10k,dns_servers,2021-01-01 00:06:00
144,Hostiran,0.0001,IR,top_10k,dns_servers,2021-01-01 00:06:00
145,Locaweb,0.0001,BR,top_10k,dns_servers,2021-01-01 00:06:00
146,Hostpoint,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
147,Interneto Vizija,0.0001,LT,top_10k,dns_servers,2021-01-01 00:06:00
148,Registro.br,0.0001,BR,top_10k,dns_servers,2021-01-01 00:06:00
149,Zone Media,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
150,CSL,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
151,No-IP,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
152,Internet Thailand,0.0001,TH,top_10k,dns_servers,2021-01-01 00:06:00
153,Comodo,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
154,VSHosting,0.0001,CZ,top_10k,dns_servers,2021-01-01 00:06:00
155,CtrlS,0.0001,IN,top_10k,dns_servers,2021-01-01 00:06:00
156,1984 Hosting,0.0001,IS,top_10k,dns_servers,2021-01-01 00:06:00
157,Deninet,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
0,United States,0.43229999999999996,US,top_10k,server_locations,2021-01-01 00:06:00
2,Germany,0.18989999999999999,DE,top_10k,server_locations,2021-01-01 00:06:00
3,France,0.1329,FR,top_10k,server_locations,2021-01-01 00:06:00
5,China,0.11470000000000001,CN,top_10k,server_locations,2021-01-01 00:06:00
9,Japan,0.0576,JP,top_10k,server_locations,2021-01-01 00:06:00
10,Russian Federation,0.054900000000000004,RU,top_10k,server_locations,2021-01-01 00:06:00
11,Netherlands,0.0481,NL,top_10k,server_locations,2021-01-01 00:06:00
13,Italy,0.0436,IT,top_10k,server_locations,2021-01-01 00:06:00
14,United Kingdom,0.0417,GB,top_10k,server_locations,2021-01-01 00:06:00
17,India,0.030600000000000002,IN,top_10k,server_locations,2021-01-01 00:06:00
18,South Korea,0.030600000000000002,KR,top_10k,server_locations,2021-01-01 00:06:00
19,Ireland,0.0297,IE,top_10k,server_locations,2021-01-01 00:06:00
20,Singapore,0.0286,SG,top_10k,server_locations,2021-01-01 00:06:00
21,Iran,0.024900000000000002,IR,top_10k,server_locations,2021-01-01 00:06:00
22,Austria,0.018799999999999997,AT,top_10k,server_locations,2021-01-01 00:06:00
23,Canada,0.0175,CA,top_10k,server_locations,2021-01-01 00:06:00
24,Spain,0.015300000000000001,ES,top_10k,server_locations,2021-01-01 00:06:00
25,Turkey,0.0129,TR,top_10k,server_locations,2021-01-01 00:06:00
26,Sweden,0.0106,SE,top_10k,server_locations,2021-01-01 00:06:00
27,Switzerland,0.0101,CH,top_10k,server_locations,2021-01-01 00:06:00
28,Hungary,0.0096,HU,top_10k,server_locations,2021-01-01 00:06:00
29,Taiwan,0.0084,TW,top_10k,server_locations,2021-01-01 00:06:00
30,Poland,0.0070999999999999995,PL,top_10k,server_locations,2021-01-01 00:06:00
31,Brazil,0.0068000000000000005,BR,top_10k,server_locations,2021-01-01 00:06:00
32,Czech Republic,0.0066,CZ,top_10k,server_locations,2021-01-01 00:06:00
33,Finland,0.0058,FI,top_10k,server_locations,2021-01-01 00:06:00
35,Viet Nam,0.0055000000000000005,VN,top_10k,server_locations,2021-01-01 00:06:00
36,Indonesia,0.0055000000000000005,ID,top_10k,server_locations,2021-01-01 00:06:00
37,Australia,0.0052,AU,top_10k,server_locations,2021-01-01 00:06:00
38,Belgium,0.0051,BE,top_10k,server_locations,2021-01-01 00:06:00
39,United Arab Emirates,0.0044,AE,top_10k,server_locations,2021-01-01 00:06:00
40,Ukraine,0.0034999999999999996,UA,top_10k,server_locations,2021-01-01 00:06:00
41,Saudi Arabia,0.0028000000000000004,SA,top_10k,server_locations,2021-01-01 00:06:00
42,Mexico,0.0027,MX,top_10k,server_locations,2021-01-01 00:06:00
43,Greece,0.0025,GR,top_10k,server_locations,2021-01-01 00:06:00
44,Azerbaijan,0.0025,AZ,top_10k,server_locations,2021-01-01 00:06:00
45,Argentina,0.0022,AR,top_10k,server_locations,2021-01-01 00:06:00
46,South Africa,0.0021,ZA,top_10k,server_locations,2021-01-01 00:06:00
47,Romania,0.0019,RO,top_10k,server_locations,2021-01-01 00:06:00
48,Kazakhstan,0.0016,KZ,top_10k,server_locations,2021-01-01 00:06:00
49,Slovakia,0.0016,SK,top_10k,server_locations,2021-01-01 00:06:00
50,Norway,0.0016,NO,top_10k,server_locations,2021-01-01 00:06:00
51,Luxembourg,0.0016,LU,top_10k,server_locations,2021-01-01 00:06:00
52,Thailand,0.0014000000000000002,TH,top_10k,server_locations,2021-01-01 00:06:00
53,Israel,0.0014000000000000002,IL,top_10k,server_locations,2021-01-01 00:06:00
54,Bulgaria,0.0014000000000000002,BG,top_10k,server_locations,2021-01-01 00:06:00
55,Latvia,0.0014000000000000002,LV,top_10k,server_locations,2021-01-01 00:06:00
56,Malaysia,0.0011,MY,top_10k,server_locations,2021-01-01 00:06:00
57,Chile,0.0011,CL,top_10k,server_locations,2021-01-01 00:06:00
58,Estonia,0.0009,EE,top_10k,server_locations,2021-01-01 00:06:00
59,Portugal,0.0009,PT,top_10k,server_locations,2021-01-01 00:06:00
60,Pakistan,0.0009,PK,top_10k,server_locations,2021-01-01 00:06:00
61,Venezuela,0.0009,VE,top_10k,server_locations,2021-01-01 00:06:00
62,Croatia,0.0008,HR,top_10k,server_locations,2021-01-01 00:06:00
63,Moldova,0.0008,,top_10k,server_locations,2021-01-01 00:06:00
64,Egypt,0.0008,EG,top_10k,server_locations,2021-01-01 00:06:00
65,Qatar,0.0008,QA,top_10k,server_locations,2021-01-01 00:06:00
66,Angola,0.0008,AO,top_10k,server_locations,2021-01-01 00:06:00
67,Belarus,0.0006,BY,top_10k,server_locations,2021-01-01 00:06:00
68,Uzbekistan,0.0006,UZ,top_10k,server_locations,2021-01-01 00:06:00
69,Denmark,0.0005,DK,top_10k,server_locations,2021-01-01 00:06:00
71,Lithuania,0.0005,LT,top_10k,server_locations,2021-01-01 00:06:00
72,Serbia,0.0005,RS,top_10k,server_locations,2021-01-01 00:06:00
73,Seychelles,0.0005,SC,top_10k,server_locations,2021-01-01 00:06:00
74,Bangladesh,0.0003,BD,top_10k,server_locations,2021-01-01 00:06:00
75,Mongolia,0.0003,MN,top_10k,server_locations,2021-01-01 00:06:00
76,Bosnia and Herzegovina,0.0003,BA,top_10k,server_locations,2021-01-01 00:06:00
77,North Macedonia,0.0003,,top_10k,server_locations,2021-01-01 00:06:00
78,Ecuador,0.0003,EC,top_10k,server_locations,2021-01-01 00:06:00
79,Cuba,0.0003,CU,top_10k,server_locations,2021-01-01 00:06:00
80,Turkmenistan,0.0003,TM,top_10k,server_locations,2021-01-01 00:06:00
81,Slovenia,0.0002,SI,top_10k,server_locations,2021-01-01 00:06:00
82,Nepal,0.0002,NP,top_10k,server_locations,2021-01-01 00:06:00
83,Colombia,0.0002,CO,top_10k,server_locations,2021-01-01 00:06:00
84,Peru,0.0002,PE,top_10k,server_locations,2021-01-01 00:06:00
85,Iceland,0.0002,IS,top_10k,server_locations,2021-01-01 00:06:00
86,Kyrgyzstan,0.0002,KG,top_10k,server_locations,2021-01-01 00:06:00
87,Algeria,0.0002,DZ,top_10k,server_locations,2021-01-01 00:06:00
88,Armenia,0.0002,AM,top_10k,server_locations,2021-01-01 00:06:00
89,Panama,0.0002,PA,top_10k,server_locations,2021-01-01 00:06:00
90,Kuwait,0.0002,KW,top_10k,server_locations,2021-01-01 00:06:00
91,Cambodia,0.0002,KH,top_10k,server_locations,2021-01-01 00:06:00
92,Cote d'Ivoire,0.0002,,top_10k,server_locations,2021-01-01 00:06:00
0,DigiCert Group,0.47740000000000005,US,top_10k,ssl_certificate,2021-01-01 00:06:00
3,IdenTrust,0.22760000000000002,US,top_10k,ssl_certificate,2021-01-01 00:06:00
4,GoDaddy Group,0.1452,US,top_10k,ssl_certificate,2021-01-01 00:06:00
7,Sectigo,0.1341,US,top_10k,ssl_certificate,2021-01-01 00:06:00
8,GlobalSign,0.092,JP,top_10k,ssl_certificate,2021-01-01 00:06:00
9,Entrust,0.0183,US,top_10k,ssl_certificate,2021-01-01 00:06:00
10,Certum,0.0154,GB,top_10k,ssl_certificate,2021-01-01 00:06:00
11,Secom Trust,0.0098,RO,top_10k,ssl_certificate,2021-01-01 00:06:00
12,Let’s Encrypt,0.0051,US,top_10k,ssl_certificate,2021-01-01 00:06:00
13,WISeKey Group,0.0032,CH,top_10k,ssl_certificate,2021-01-01 00:06:00
15,TWCA,0.0016,,top_10k,ssl_certificate,2021-01-01 00:06:00
16,Trustwave,0.0012,US,top_10k,ssl_certificate,2021-01-01 00:06:00
17,SwissSign,0.0009,CH,top_10k,ssl_certificate,2021-01-01 00:06:00
18,Actalis,0.0008,IT,top_10k,ssl_certificate,2021-01-01 00:06:00
19,Deutsche Telekom,0.0007000000000000001,DE,top_10k,ssl_certificate,2021-01-01 00:06:00
20,Certigna,0.0007000000000000001,,top_10k,ssl_certificate,2021-01-01 00:06:00
21,Chunghwa Telecom,0.0005,TW,top_10k,ssl_certificate,2021-01-01 00:06:00
22,AffirmTrust,0.0005,,top_10k,ssl_certificate,2021-01-01 00:06:00
23,Hongkong Post,0.0004,CN,top_10k,ssl_certificate,2021-01-01 00:06:00
24,D-Trust,0.0004,,top_10k,ssl_certificate,2021-01-01 00:06:00
25,E-Tugra,0.0001,TR,top_10k,ssl_certificate,2021-01-01 00:06:00
26,Logius,0.0001,,top_10k,ssl_certificate,2021-01-01 00:06:00
27,Buypass,0.0001,,top_10k,ssl_certificate,2021-01-01 00:06:00
28,Harica,0.0001,,top_10k,ssl_certificate,2021-01-01 00:06:00
0,Amazon,0.258,US,top_1k,data_center,2021-01-01 00:06:00
1,Google,0.10400000000000001,US,top_1k,data_center,2021-01-01 00:06:00
2,Alibaba,0.052000000000000005,CN,top_1k,data_center,2021-01-01 00:06:00
3,China Telecom,0.037000000000000005,CN,top_1k,data_center,2021-01-01 00:06:00
4,Microsoft,0.022000000000000002,US,top_1k,data_center,2021-01-01 00:06:00
5,Tencent,0.022000000000000002,CN,top_1k,data_center,2021-01-01 00:06:00
6,China Unicom,0.022000000000000002,CN,top_1k,data_center,2021-01-01 00:06:00
7,Salesforce,0.022000000000000002,,top_1k,data_center,2021-01-01 00:06:00
8,Verizon Group,0.019,US,top_1k,data_center,2021-01-01 00:06:00
12,Automattic,0.013999999999999999,US,top_1k,data_center,2021-01-01 00:06:00
13,OVH,0.013000000000000001,FR,top_1k,data_center,2021-01-01 00:06:00
14,Hetzner,0.012,DE,top_1k,data_center,2021-01-01 00:06:00
15,Asiatech,0.006999999999999999,IN,top_1k,data_center,2021-01-01 00:06:00
16,Rackspace,0.005,US,top_1k,data_center,2021-01-01 00:06:00
17,NTT Group,0.005,JP,top_1k,data_center,2021-01-01 00:06:00
20,CenturyLink,0.005,US,top_1k,data_center,2021-01-01 00:06:00
21,Squarespace,0.004,US,top_1k,data_center,2021-01-01 00:06:00
22,LeaseWeb Group,0.004,NL,top_1k,data_center,2021-01-01 00:06:00
24,Oracle,0.004,US,top_1k,data_center,2021-01-01 00:06:00
25,Neustar,0.004,,top_1k,data_center,2021-01-01 00:06:00
26,GoDaddy Group,0.003,US,top_1k,data_center,2021-01-01 00:06:00
29,United Internet,0.003,DE,top_1k,data_center,2021-01-01 00:06:00
31,IBM,0.003,US,top_1k,data_center,2021-01-01 00:06:00
32,Chunghwa Telecom,0.003,TW,top_1k,data_center,2021-01-01 00:06:00
33,XBT Holding,0.003,US,top_1k,data_center,2021-01-01 00:06:00
36,Pars Online,0.003,MY,top_1k,data_center,2021-01-01 00:06:00
37,IDC Frontier,0.003,JP,top_1k,data_center,2021-01-01 00:06:00
38,Performive,0.003,,top_1k,data_center,2021-01-01 00:06:00
39,Afranet,0.003,IR,top_1k,data_center,2021-01-01 00:06:00
40,Baidu,0.003,,top_1k,data_center,2021-01-01 00:06:00
41,China Mobile,0.003,,top_1k,data_center,2021-01-01 00:06:00
42,Newfold Digital,0.002,US,top_1k,data_center,2021-01-01 00:06:00
44,GitHub,0.002,US,top_1k,data_center,2021-01-01 00:06:00
45,SK Group,0.002,KR,top_1k,data_center,2021-01-01 00:06:00
48,AT&T,0.002,US,top_1k,data_center,2021-01-01 00:06:00
49,Hurricane Electric,0.002,US,top_1k,data_center,2021-01-01 00:06:00
50,SH.cz,0.002,,top_1k,data_center,2021-01-01 00:06:00
51,Yandex,0.002,RU,top_1k,data_center,2021-01-01 00:06:00
52,Cisco,0.002,,top_1k,data_center,2021-01-01 00:06:00
53,Liquid Web,0.001,US,top_1k,data_center,2021-01-01 00:06:00
54,Linode,0.001,US,top_1k,data_center,2021-01-01 00:06:00
55,REG.RU,0.001,RU,top_1k,data_center,2021-01-01 00:06:00
56,Internap Group,0.001,US,top_1k,data_center,2021-01-01 00:06:00
