Cloudflare,38.2%
Akamai,35.8%
Amazon CloudFront,25.5%
Fastly,13.3%
CDNetworks,2.0%
Quantil,2.0%
Imperva,1.5%
Qrator,0.5%
StackPath,0.4%
DDoS-Guard,0.2%
ArvanCloud,0.2%
Project Shield,0.2%
Link11,0.2%
