1.,Amazon,24.59%
2.,Google,5.39%
3.,Alibaba,3.22%
4.,China Telecom,2.22%
5.,OVH,1.94%
6.,Microsoft,1.92%
7.,Hetzner,1.76%
8.,China Unicom,1.38%
9.,Automattic,1.28%
10.,Tencent,1.08%
11.,DigitalOcean,1.03%
12.,Salesforce,0.96%
13.,Verizon Group,0.78%
13.1.,    Verizon,0.70%
13.2.,    Yahoo,0.09%
13.3.,    Verizon Media,0.07%
14.,LeaseWeb Group,0.64%
14.1.,    LeaseWeb,0.64%
15.,Asiatech,0.49%
16.,Linode,0.45%
17.,Rackspace,0.45%
18.,Hurricane Electric,0.43%
19.,GoDaddy Group,0.42%
19.1.,    GoDaddy,0.20%
19.2.,    Host Europe,0.10%
19.3.,    PlusServer,0.09%
19.4.,    Media Temple,0.02%
20.,XBT Holding,0.41%
20.1.,    Servers.com,0.20%
20.2.,    Webzilla,0.18%
20.3.,    Exepto,0.02%
21.,NTT Group,0.39%
21.1.,    NTT Communications,0.16%
21.2.,    Netmagic,0.15%
21.3.,    NTT PC Communications,0.07%
21.4.,    NTT SmartConnect,0.01%
21.5.,    NTT Docomo,0.01%
22.,Selectel,0.36%
23.,Yandex,0.36%
24.,KT Group,0.31%
24.1.,    KT Corporation,0.31%
25.,Advanced Hosting,0.30%
26.,United Internet,0.28%
26.1.,    1&1 IONOS,0.24%
26.2.,    Strato,0.03%
26.3.,    InterNetX,0.01%
27.,IBM,0.28%
28.,China Mobile,0.27%
29.,Sakura,0.26%
30.,Chunghwa Telecom,0.26%
31.,CenturyLink,0.26%
32.,Neustar,0.26%
33.,IDC Frontier,0.25%
34.,Internet Initiative Japan,0.25%
35.,Internap Group,0.24%
35.1.,    Internap,0.19%
35.2.,    iWeb,0.05%
36.,Newfold Digital,0.23%
36.1.,    Endurance,0.15%
36.2.,    PublicDomainRegistry,0.05%
36.3.,    Network Solutions,0.03%
37.,Oracle,0.23%
38.,Squarespace,0.22%
39.,GitHub,0.22%
40.,LG Group,0.19%
40.1.,    LG U+,0.19%
41.,CSC,0.19%
42.,Liquid Web,0.18%
43.,VNPT,0.18%
44.,Hivelocity,0.17%
45.,Scaleway,0.17%
46.,Delta Telecom,0.17%
47.,Contabo,0.16%
48.,Choopa,0.16%
49.,Vodafone,0.16%
50.,Deutsche Telekom Group,0.15%
50.1.,    T-Systems,0.06%
50.2.,    Magyar Telekom,0.03%
50.3.,    Slovak Telecom,0.03%
50.4.,    Deutsche Telekom,0.01%
50.5.,    T-Mobile,0.01%
51.,Afranet,0.14%
52.,Zoho,0.14%
53.,REG.RU,0.12%
54.,Aruba Group,0.12%
54.1.,    Aruba,0.12%
55.,SK Group,0.12%
55.1.,    SK Broadband,0.10%
55.2.,    SK Holdings C&C,0.01%
55.3.,    SK Telecom,0.01%
