1.,Amazon,26.8%
2.,Google,9.7%
3.,Alibaba,4.5%
4.,China Telecom,3.1%
5.,Tencent,2.6%
6.,China Unicom,2.6%
7.,Salesforce,2.6%
8.,Microsoft,2.3%
9.,OVH,1.6%
10.,Verizon Group,1.6%
10.1.,    Verizon,1.2%
10.2.,    Yahoo,0.4%
10.3.,    Verizon Media,0.3%
11.,Automattic,1.4%
12.,Hetzner,1.0%
13.,Asiatech,0.9%
14.,IBM,0.5%
15.,NTT Group,0.5%
15.1.,    Netmagic,0.3%
15.2.,    NTT Communications,0.2%
16.,IDC Frontier,0.5%
17.,Oracle,0.5%
18.,LeaseWeb Group,0.4%
18.1.,    LeaseWeb,0.4%
19.,China Mobile,0.4%
20.,GoDaddy Group,0.3%
20.1.,    GoDaddy,0.2%
20.2.,    PlusServer,0.1%
21.,Squarespace,0.3%
22.,Rackspace,0.3%
23.,Chunghwa Telecom,0.3%
24.,CenturyLink,0.3%
25.,Hurricane Electric,0.3%
26.,Afranet,0.3%
27.,Neustar,0.3%
28.,Baidu,0.3%
29.,Zenlayer,0.3%
30.,Newfold Digital,0.2%
30.1.,    Endurance,0.2%
31.,United Internet,0.2%
31.1.,    1&1 IONOS,0.2%
32.,RBC Group,0.2%
32.1.,    SpaceWeb,0.1%
32.2.,    RosBusinessConsulting,0.1%
33.,GitHub,0.2%
34.,Pars Online,0.2%
35.,SK Group,0.2%
35.1.,    SK Broadband,0.1%
35.2.,    SK Telecom,0.1%
36.,Advanced Hosting,0.2%
37.,AT&T,0.2%
38.,Cisco,0.2%
39.,DigitalOcean,0.1%
40.,Namecheap,0.1%
41.,Hostinger,0.1%
42.,REG.RU,0.1%
43.,DreamHost,0.1%
44.,Contabo,0.1%
45.,Choopa,0.1%
46.,Internap Group,0.1%
46.1.,    Internap,0.1%
47.,Radore,0.1%
48.,Weebly,0.1%
49.,VNPT,0.1%
50.,Hivelocity,0.1%
51.,Aruba Group,0.1%
51.1.,    Aruba,0.1%
52.,Viettel,0.1%
53.,XBT Holding,0.1%
53.1.,    Webzilla,0.1%
54.,Deutsche Telekom Group,0.1%
54.1.,    T-Systems,0.1%
55.,QuadraNet,0.1%
56.,Masterhost,0.1%
57.,TierPoint,0.1%
58.,Faraso Samaneh Pasargad,0.1%
59.,Exabytes Group,0.1%
59.1.,    Exabytes,0.1%
60.,Pair Networks,0.1%
61.,PS Internet Company,0.1%
62.,Hostiran,0.1%
63.,Psychz,0.1%
64.,Comcast,0.1%
65.,Yandex,0.1%
66.,HKBN,0.1%
67.,CSC,0.1%
68.,Zoho,0.1%
69.,Kamatera,0.1%
70.,NetEase,0.1%
