Amazon,23.01%
Google,4.27%
Zendesk,4.08%
Alibaba,3.58%
China Telecom,2.45%
WP Engine Group,2.10%
OVH,1.94%
Microsoft,1.85%
Hetzner,1.66%
Salesforce,1.43%
Shopify,1.39%
China Unicom,1.32%
Automattic Group,1.28%
Tencent,1.08%
DigitalOcean,0.89%
Verizon Group,0.81%
Netlify,0.68%
LeaseWeb Group,0.57%
Pantheon,0.55%
Acquia,0.55%
Webflow,0.51%
Asiatech,0.49%
CenturyLink,0.48%
China Mobile,0.47%
HubSpot,0.45%
Linode,0.43%
Rackspace,0.43%
Hurricane Electric,0.43%
GoDaddy Group,0.42%
XBT Holding,0.40%
NTT Group,0.39%
Selectel,0.36%
KT Group,0.36%
Medium,0.35%
Vercel,0.34%
Kinsta,0.32%
Advanced Hosting,0.30%
United Internet,0.28%
IBM,0.28%
Newfold Digital,0.27%
Sakura,0.26%
Chunghwa Telecom,0.26%
GitHub,0.25%
LG Group,0.25%
IDC Frontier,0.25%
Internet Initiative Japan,0.25%
Squarespace,0.24%
Neustar,0.24%
Telefónica Group,0.23%
Internap Group,0.22%
Oracle,0.22%
Yandex,0.20%
Pagely,0.20%
UCloud,0.19%
VNPT,0.18%
SK Group,0.18%
Scaleway,0.17%
CSC,0.17%
Delta Telecom,0.17%
Liquid Web,0.16%
Contabo,0.16%
Hivelocity,0.16%
Vodafone,0.16%
SiteGround,0.15%
Choopa,0.15%
XServer,0.15%
Deutsche Telekom Group,0.15%
Heroku,0.14%
Afranet,0.14%
Zoho,0.14%
REG.RU,0.12%
Aruba Group,0.12%
DreamHost,0.11%
InMotion,0.11%
GMO Internet Group,0.11%
Serverel,0.11%
team.blue,0.10%
Pars Online,0.10%
AT&T,0.10%
Wix,0.09%
First Colo,0.09%
Equinix,0.09%
Namecheap,0.08%
FPT,0.08%
Pair Networks,0.08%
Codero,0.08%
HKBN,0.08%
Presslabs,0.08%
Turkmentelecom,0.08%
Hostinger,0.07%
A2 Hosting,0.07%
Radore,0.07%
Viettel,0.07%
Rostelecom Group,0.07%
KDDI Group,0.07%
Cogent,0.07%
Cnservers,0.07%
NFOrce Entertainment,0.07%
Claranet,0.07%
Gainet,0.07%
Baidu,0.07%
NetEase,0.07%
Wikimedia,0.07%
Bigcommerce,0.06%
Pars Parva System,0.06%
THG Hosting,0.06%
Limestone Networks,0.06%
Platform.sh,0.06%
ServerStack,0.06%
RBC Group,0.05%
Tilda,0.05%
АО IoT,0.05%
PrivateSystems,0.05%
InterServer,0.05%
PhoenixNAP,0.05%
Ntirety,0.05%
Cogeco Group,0.05%
MiroHost,0.05%
TierPoint,0.05%
Premier DC,0.05%
CtrlS,0.05%
Telia Company Group,0.05%
Swisscom Group,0.05%
Voxility,0.05%
Teléfonos de México,0.05%
Virtual Systems,0.05%
Mail.Ru,0.05%
Cloudways,0.03%
Mihan,0.03%
Nexcess,0.03%
Steadfast,0.03%
QuadraNet,0.03%
UpCloud,0.03%
uKit Group,0.03%
Hostiran,0.03%
Confluence-Networks,0.03%
Flexential,0.03%
MojoHost,0.03%
Tucows Group,0.03%
KPN Group,0.03%
Colt,0.03%
Grupo GTD,0.03%
Gruppo TIM,0.03%
WebNX,0.03%
Noris network,0.03%
Accretive,0.03%
DEAC,0.03%
Ning,0.03%
Telecom Egypt,0.03%
Atos Group,0.03%
Biglobe,0.03%
RebelMouse,0.03%
Cisco,0.03%
Apple,0.03%
Aerotek,0.02%
Xneelo,0.02%
Duda,0.02%
Tebyan,0.02%
iomart Group,0.02%
Enartia Group,0.02%
WPX Hosting,0.02%
One.com,0.02%
Masterhost,0.02%
BanaHosting,0.02%
Exabytes Group,0.02%
Gandi,0.02%
DGN Teknoloji,0.02%
FastVPS,0.02%
DHH,0.02%
PS Internet Company,0.02%
Zomro,0.02%
Hostiserver,0.02%
Cafe24,0.02%
Dinahosting,0.02%
VSHosting,0.02%
GloboTech,0.02%
Bezeq Group,0.02%
ServerCentral,0.02%
M247,0.02%
Cellcom,0.02%
