1.,Amazon,25.8%
2.,Google,10.0%
3.,Alibaba,4.6%
4.,China Telecom,3.3%
5.,Tencent,2.7%
6.,Salesforce,2.4%
7.,China Unicom,2.2%
8.,Microsoft,2.1%
9.,OVH,1.6%
10.,Automattic,1.6%
11.,Verizon Group,1.6%
11.1.,    Verizon,1.2%
11.2.,    Yahoo,0.4%
11.3.,    Verizon Media,0.3%
12.,Hetzner,1.1%
13.,Asiatech,0.7%
14.,IBM,0.5%
15.,NTT Group,0.5%
15.1.,    Netmagic,0.3%
15.2.,    NTT Communications,0.2%
16.,Oracle,0.5%
17.,Rackspace,0.4%
18.,LeaseWeb Group,0.4%
18.1.,    LeaseWeb,0.4%
19.,Chunghwa Telecom,0.4%
20.,IDC Frontier,0.4%
21.,CenturyLink,0.3%
22.,Hurricane Electric,0.3%
23.,Afranet,0.3%
24.,Neustar,0.3%
25.,Baidu,0.3%
26.,China Mobile,0.3%
27.,GoDaddy Group,0.2%
27.1.,    GoDaddy,0.1%
27.2.,    PlusServer,0.1%
28.,Newfold Digital,0.2%
28.1.,    Endurance,0.2%
29.,Squarespace,0.2%
30.,United Internet,0.2%
30.1.,    1&1 IONOS,0.2%
31.,GitHub,0.2%
32.,Pars Online,0.2%
33.,SK Group,0.2%
33.1.,    SK Broadband,0.1%
33.2.,    SK Telecom,0.1%
34.,Advanced Hosting,0.2%
35.,AT&T,0.2%
36.,Yandex,0.2%
37.,Zenlayer,0.2%
38.,Cisco,0.2%
39.,Namecheap,0.1%
40.,Linode,0.1%
41.,REG.RU,0.1%
42.,DreamHost,0.1%
43.,Contabo,0.1%
44.,Choopa,0.1%
45.,Internap Group,0.1%
45.1.,    Internap,0.1%
46.,RBC Group,0.1%
46.1.,    RosBusinessConsulting,0.1%
47.,Radore,0.1%
48.,Weebly,0.1%
49.,VNPT,0.1%
50.,Hivelocity,0.1%
51.,Rostelecom Group,0.1%
51.1.,    RTComm.RU,0.1%
52.,Aruba Group,0.1%
52.1.,    Aruba,0.1%
53.,Viettel,0.1%
54.,XBT Holding,0.1%
54.1.,    Webzilla,0.1%
55.,QuadraNet,0.1%
56.,Masterhost,0.1%
57.,TierPoint,0.1%
58.,Exabytes Group,0.1%
58.1.,    Exabytes,0.1%
59.,Pair Networks,0.1%
60.,PS Internet Company,0.1%
61.,Hostiran,0.1%
62.,Psychz,0.1%
63.,Comcast,0.1%
64.,CSC,0.1%
65.,HKBN,0.1%
66.,Zoho,0.1%
67.,NetEase,0.1%
68.,Turkmentelecom,0.1%
