Amazon,26.1%
Google,9.3%
Zendesk,6.4%
Alibaba,4.9%
China Telecom,3.3%
Tencent,2.6%
China Unicom,2.6%
Salesforce,2.6%
WP Engine Group,2.4%
Microsoft,2.2%
Shopify,1.6%
OVH,1.6%
Verizon Group,1.5%
Automattic Group,1.4%
Hetzner,1.0%
Asiatech,0.9%
China Mobile,0.9%
Pantheon,0.7%
Acquia,0.7%
HubSpot,0.6%
NTT Group,0.5%
IBM,0.5%
IDC Frontier,0.5%
LeaseWeb Group,0.4%
GitHub,0.4%
CenturyLink,0.4%
Oracle,0.4%
Newfold Digital,0.3%
GoDaddy Group,0.3%
Squarespace,0.3%
Webflow,0.3%
Rackspace,0.3%
Kinsta,0.3%
Chunghwa Telecom,0.3%
SK Group,0.3%
Hurricane Electric,0.3%
Afranet,0.3%
Medium,0.3%
Baidu,0.3%
Zenlayer,0.3%
United Internet,0.2%
RBC Group,0.2%
Netlify,0.2%
Vercel,0.2%
KT Group,0.2%
Heroku,0.2%
Pars Online,0.2%
Advanced Hosting,0.2%
AT&T,0.2%
Comcast,0.2%
Neustar,0.2%
Mail.Ru,0.2%
ServerStack,0.2%
Cisco,0.2%
Wikimedia,0.2%
DigitalOcean,0.1%
Wix,0.1%
Namecheap,0.1%
Hostinger,0.1%
REG.RU,0.1%
DreamHost,0.1%
Contabo,0.1%
Choopa,0.1%
Internap Group,0.1%
Weebly,0.1%
VNPT,0.1%
Tilda,0.1%
Hivelocity,0.1%
Aruba Group,0.1%
Radore,0.1%
Viettel,0.1%
XBT Holding,0.1%
Deutsche Telekom Group,0.1%
Masterhost,0.1%
TierPoint,0.1%
Exabytes Group,0.1%
Faraso Samaneh Pasargad,0.1%
QuadraNet,0.1%
Pair Networks,0.1%
LG Group,0.1%
KDDI Group,0.1%
Hostiran,0.1%
PS Internet Company,0.1%
ServerCentral,0.1%
Psychz,0.1%
Yandex,0.1%
UCloud,0.1%
CSC,0.1%
Platform.sh,0.1%
HKBN,0.1%
Zoho,0.1%
Grupo GTD,0.1%
NetSuite,0.1%
HopOne,0.1%
Kamatera,0.1%
Universo Online,0.1%
Advania,0.1%
NetEase,0.1%
Hewlett-Packard,0.1%
Apple,0.1%
