Rank,DNS Server Providers,Percentage Top 1,000 Sites
1,Amazon,27.1%
2,Cloudflare,15.1%
3,Akamai,9.7%
4,NS1,7.3%
5,Google,6.6%
6,Neustar UltraDNS,4.9%
7,Alibaba Group,3.8%
7.1,    Alibaba,2.7%
7.2,    HiChina,1.1%
8,Oracle Dyn,3.8%
9,Tencent,3.2%
10,DNS Made Easy,1.5%
11,RBC Group,1.0%
11.1,    RU-Center,0.9%
11.2,    RosBusinessConsulting,0.1%
12,Microsoft,0.8%
13,ClouDNS,0.8%
14,Verizon Group,0.8%
14.1,    Verizon,0.6%
14.2,    Yahoo,0.2%
15,GoDaddy Group,0.7%
15.1,    GoDaddy,0.7%
16,CSC,0.7%
17,Automattic,0.6%
18,Internet Initiative Japan,0.4%
19,United Internet,0.3%
19.1,    1&1 IONOS,0.2%
19.2,    home.pl,0.1%
20,ArvanCloud,0.3%
21,Chunghwa Telecom,0.3%
22,AT&T,0.3%
23,Newfold Digital,0.2%
23.1,    ResellerClub,0.1%
23.2,    Register.com,0.1%
24,Yandex,0.2%
25,DNSimple,0.2%
26,Cisco,0.2%
27,PA Vietnam,0.1%
28,Tucows Group,0.1%
28.1,    eNom,0.1%
29,Squarespace,0.1%
30,Gandi,0.1%
31,Aruba Group,0.1%
31.1,    Aruba,0.1%
32,Rackspace,0.1%
33,Choopa,0.1%
34,DNS.com,0.1%
35,Masterhost,0.1%
36,IBM,0.1%
37,VNPT,0.1%
38,Selectel,0.1%
39,Gabia,0.1%
40,Asiatech,0.1%
41,StackPath,0.1%
42,Mail.Ru,0.1%
43,Total Uptime,0.1%
44,NetEase,0.1%
