Rank,Data Center Providers,Percentage Top 1,000 Sites
1,Amazon,25.8%
2,Google,10.4%
3,Alibaba,5.2%
4,China Telecom,3.7%
5,Microsoft,2.2%
6,Tencent,2.2%
7,China Unicom,2.2%
8,Salesforce,2.2%
9,Verizon Group,1.9%
9.1,    Verizon,1.4%
9.2,    Yahoo,0.4%
9.3,    Verizon Media,0.3%
10,Automattic,1.4%
11,OVH,1.3%
12,Hetzner,1.2%
13,Asiatech,0.7%
14,Rackspace,0.5%
15,NTT Group,0.5%
15.1,    NTT Communications,0.3%
15.2,    Netmagic,0.2%
16,CenturyLink,0.5%
17,Squarespace,0.4%
18,LeaseWeb Group,0.4%
18.1,    LeaseWeb,0.4%
19,Oracle,0.4%
20,Neustar,0.4%
21,GoDaddy Group,0.3%
21.1,    GoDaddy,0.2%
21.2,    PlusServer,0.1%
22,United Internet,0.3%
22.1,    1&1 IONOS,0.3%
23,IBM,0.3%
24,Chunghwa Telecom,0.3%
25,XBT Holding,0.3%
25.1,    Servers.com,0.2%
25.2,    Webzilla,0.1%
26,Pars Online,0.3%
27,IDC Frontier,0.3%
28,Performive,0.3%
29,Afranet,0.3%
30,Baidu,0.3%
31,China Mobile,0.3%
32,Newfold Digital,0.2%
32.1,    Endurance,0.2%
33,GitHub,0.2%
34,SK Group,0.2%
34.1,    SK Broadband,0.1%
34.2,    SK Telecom,0.1%
35,AT&T,0.2%
36,Hurricane Electric,0.2%
37,SH.cz,0.2%
38,Yandex,0.2%
39,Cisco,0.2%
40,Liquid Web,0.1%
41,Linode,0.1%
42,REG.RU,0.1%
43,Internap Group,0.1%
43.1,    Internap,0.1%
44,RBC Group,0.1%
44.1,    RosBusinessConsulting,0.1%
45,Choopa,0.1%
46,GMO Internet Group,0.1%
46.1,    GMO Internet,0.1%
47,Radore,0.1%
48,Selectel,0.1%
49,Weebly,0.1%
50,Hivelocity,0.1%
51,Scaleway,0.1%
52,Rostelecom Group,0.1%
52.1,    RTComm.RU,0.1%
53,Aruba Group,0.1%
53.1,    Aruba,0.1%
54,KT Group,0.1%
54.1,    KT Corporation,0.1%
55,Viettel,0.1%
56,Cogeco Group,0.1%
56.1,    Aptum,0.1%
57,QuadraNet,0.1%
58,Masterhost,0.1%
59,Ntirety,0.1%
60,TierPoint,0.1%
61,Exabytes Group,0.1%
61.1,    Exabytes,0.1%
62,Pair Networks,0.1%
63,PS Internet Company,0.1%
64,Advanced Hosting,0.1%
65,Hostiserver,0.1%
66,Hostiran,0.1%
67,Comcast,0.1%
68,Psychz,0.1%
69,Internet Initiative Japan,0.1%
70,HKBN,0.1%
71,Zoho,0.1%
