Rank,DNS Server Providers,Percentage Top 10,000 Sites
1,Cloudflare,25.87%
2,Amazon,24.02%
3,Akamai,5.48%
4,Google,2.87%
5,NS1,2.77%
6,Tencent,2.52%
7,Alibaba Group,2.49%
7.1,    Alibaba,1.45%
7.2,    HiChina,1.05%
8,Neustar UltraDNS,2.11%
9,GoDaddy Group,1.51%
9.1,    GoDaddy,1.44%
9.2,    Host Europe,0.05%
9.3,    Media Temple,0.02%
10,DNS Made Easy,1.49%
11,Oracle Dyn,1.48%
12,RBC Group,0.97%
12.1,    RU-Center,0.90%
12.2,    R01,0.05%
12.3,    RosBusinessConsulting,0.02%
13,Microsoft,0.67%
14,CSC,0.61%
15,ClouDNS,0.56%
16,Namecheap,0.50%
17,ArvanCloud,0.46%
18,OVH,0.37%
19,Automattic,0.37%
20,United Internet,0.34%
20.1,    1&1 IONOS,0.19%
20.2,    InterNetX,0.07%
20.3,    Strato,0.02%
20.4,    home.pl,0.02%
20.5,    Fasthosts,0.01%
20.6,    Arsys,0.01%
20.7,    World4You,0.01%
21,Newfold Digital,0.32%
21.1,    Network Solutions,0.09%
21.2,    Register.com,0.09%
21.3,    ResellerClub,0.03%
21.4,    Bluehost,0.02%
21.5,    BigRock,0.02%
21.6,    HostNine,0.02%
21.7,    PublicDomainRegistry,0.01%
21.8,    Endurance,0.01%
21.9,    Domain.com,0.01%
22,DNSimple,0.31%
23,Hetzner,0.30%
24,DigitalOcean,0.29%
25,Verizon Group,0.29%
25.1,    Verizon,0.23%
25.2,    Yahoo,0.06%
26,Internet Initiative Japan,0.28%
27,Linode,0.24%
28,Gandi,0.23%
29,Rackspace,0.22%
30,GMO Internet Group,0.21%
30.1,    Onamae,0.09%
30.2,    GMO Internet,0.06%
30.3,    GMO Pepabo,0.05%
30.4,    Lolipop,0.01%
30.5,    Color Me Shop,0.01%
31,Asiatech,0.21%
32,team.blue,0.20%
32.1,    Register.it,0.13%
32.2,    Natro,0.03%
32.3,    TransIP,0.01%
32.4,    Names.co.uk,0.01%
32.5,    SuperHosting.BG,0.01%
33,Yandex,0.20%
34,easyDNS Group,0.20%
34.1,    easyDNS,0.15%
34.2,    ZoneEdit,0.05%
35,REG.RU,0.19%
36,Sakura,0.17%
37,DNS.com,0.17%
38,IBM,0.16%
39,Aruba Group,0.15%
39.1,    Aruba,0.15%
40,AT&T,0.15%
41,Chunghwa Telecom,0.14%
42,XinNet,0.13%
43,Tucows Group,0.12%
43.1,    eNom,0.09%
43.2,    Tucows,0.02%
44,XServer,0.12%
45,Name.com,0.12%
46,MarkMonitor,0.12%
47,Ezoic,0.09%
48,VNPT,0.09%
49,DreamHost,0.08%
50,PA Vietnam,0.08%
51,InMotion,0.08%
52,Selectel,0.08%
53,Internet.BS,0.08%
54,SiteGround,0.07%
55,Choopa,0.06%
56,Enartia Group,0.06%
56.1,    Papaki,0.05%
56.2,    Top.Host,0.01%
57,Total Uptime,0.06%
58,DDoS-Guard,0.06%
59,Hostinger,0.05%
60,A2 Hosting,0.05%
61,MiroHost,0.05%
62,Liquid Web,0.05%
63,FastVPS,0.05%
64,XBT Holding,0.05%
64.1,    Webzilla,0.05%
65,Hivelocity,0.05%
66,Gabia,0.05%
67,Sucuri,0.05%
68,NetEase,0.05%
69,Netafraz,0.03%
70,Prom.ua,0.03%
71,Contabo,0.03%
72,Pair Networks,0.03%
73,Cisco,0.03%
74,Mihan,0.02%
75,Hoster.by,0.02%
76,One.com,0.02%
77,Cafe24,0.02%
78,Visma Group,0.02%
78.1,    Active 24,0.02%
79,NameSilo,0.02%
80,Scaleway,0.02%
81,Infomaniak,0.02%
82,WPX Hosting,0.02%
83,cdmon,0.02%
84,StackPath,0.02%
85,SiteSell,0.02%
86,Mail.Ru,0.02%
87,Liberty Global Group,0.02%
87.1,    Telenet,0.01%
87.2,    Virgin Media,0.01%
88,ironDNS,0.02%
89,TimeWeb,0.01%
90,Squarespace,0.01%
91,Güzel Hosting,0.01%
92,Masterhost,0.01%
93,FirstVDS,0.01%
94,Mizbanfa,0.01%
95,Internet Hosting Center,0.01%
96,BanaHosting,0.01%
97,Webempresa,0.01%
98,Dinahosting,0.01%
99,Hostiran,0.01%
100,Locaweb,0.01%
101,Hostpoint,0.01%
102,Interneto Vizija,0.01%
103,Registro.br,0.01%
104,Zone Media,0.01%
105,CSL,0.01%
106,No-IP,0.01%
107,Comodo,0.01%
108,Internet Thailand,0.01%
109,VSHosting,0.01%
110,CtrlS,0.01%
111,1984 Hosting,0.01%
112,Deninet,0.01%
