Rank,Web Hosting Providers,Percentage Top 1,000 Sites
1,Amazon,24.6%
2,Google,9.3%
3,Zendesk,6.0%
4,Alibaba,5.5%
5,China Telecom,3.8%
6,WP Engine Group,2.2%
6.1,    WP Engine,2.1%
6.2,    Flywheel,0.1%
7,Tencent,2.2%
8,China Unicom,2.2%
9,Microsoft,2.1%
10,Salesforce,2.1%
11,Verizon Group,1.9%
11.1,    Verizon,1.4%
11.2,    Yahoo,0.4%
11.3,    Verizon Media,0.3%
12,Shopify,1.5%
13,Automattic Group,1.4%
13.1,    Automattic,1.2%
13.2,    Tumblr,0.3%
14,OVH,1.3%
15,Hetzner,1.2%
16,Acquia,1.1%
17,CenturyLink,1.0%
18,China Mobile,0.9%
19,Asiatech,0.7%
20,Pantheon,0.7%
21,Medium,0.7%
22,NTT Group,0.5%
22.1,    NTT Communications,0.3%
22.2,    Netmagic,0.2%
23,HubSpot,0.5%
24,Squarespace,0.4%
25,Rackspace,0.4%
26,LeaseWeb Group,0.4%
26.1,    LeaseWeb,0.4%
27,Oracle,0.4%
28,Newfold Digital,0.3%
28.1,    HostGator,0.1%
28.2,    Endurance,0.1%
28.3,    TypePad,0.1%
29,GoDaddy Group,0.3%
29.1,    GoDaddy,0.2%
29.2,    PlusServer,0.1%
30,United Internet,0.3%
30.1,    1&1 IONOS,0.3%
31,IBM,0.3%
32,GitHub,0.3%
33,Kinsta,0.3%
34,Chunghwa Telecom,0.3%
35,KT Group,0.3%
35.1,    KT Corporation,0.3%
36,XBT Holding,0.3%
36.1,    Servers.com,0.2%
36.2,    Webzilla,0.1%
37,Pars Online,0.3%
38,SK Group,0.3%
38.1,    SK Broadband,0.2%
38.2,    SK Telecom,0.1%
39,IDC Frontier,0.3%
40,Performive,0.3%
41,Afranet,0.3%
42,Baidu,0.3%
43,Neustar,0.3%
44,Wikimedia,0.3%
45,Wix,0.2%
46,Netlify,0.2%
47,Webflow,0.2%
48,AT&T,0.2%
49,Hurricane Electric,0.2%
50,Comcast,0.2%
51,SH.cz,0.2%
52,Yandex,0.2%
53,Grupo GTD,0.2%
53.1,    Gtd Teleductos,0.2%
54,Mail.Ru,0.2%
55,ServerStack,0.2%
56,Cisco,0.2%
57,Liquid Web,0.1%
58,REG.RU,0.1%
59,RBC Group,0.1%
59.1,    RosBusinessConsulting,0.1%
60,Choopa,0.1%
61,GMO Internet Group,0.1%
61.1,    ConoHa,0.1%
62,Internap Group,0.1%
62.1,    Internap,0.1%
63,Weebly,0.1%
64,Selectel,0.1%
65,Scaleway,0.1%
66,Hivelocity,0.1%
67,Aruba Group,0.1%
67.1,    Aruba,0.1%
68,Tilda,0.1%
69,Radore,0.1%
70,Viettel,0.1%
71,Masterhost,0.1%
72,Vercel,0.1%
73,Rostelecom Group,0.1%
73.1,    RTComm.RU,0.1%
74,Heroku,0.1%
75,Cogeco Group,0.1%
75.1,    Aptum,0.1%
76,Exabytes Group,0.1%
76.1,    Exabytes,0.1%
77,TierPoint,0.1%
78,QuadraNet,0.1%
79,LG Group,0.1%
79.1,    LG U+,0.1%
80,Pair Networks,0.1%
81,PS Internet Company,0.1%
82,KDDI Group,0.1%
82.1,    KDDI Corporation,0.1%
83,Advanced Hosting,0.1%
84,Hostiserver,0.1%
85,Hostiran,0.1%
86,Psychz,0.1%
87,UCloud,0.1%
88,Internet Initiative Japan,0.1%
89,Platform.sh,0.1%
90,HKBN,0.1%
91,NFOrce Entertainment,0.1%
92,Zoho,0.1%
93,Webglobe-Yegon,0.1%
94,Universo Online,0.1%
95,Advania,0.1%
96,RackSRV,0.1%
97,Hewlett-Packard,0.1%
98,Apple,0.1%
