1.,Amazon,26.6%
2.,Google,10.0%
3.,Alibaba,4.6%
4.,China Telecom,3.4%
5.,Salesforce,2.3%
6.,Tencent,2.1%
7.,China Unicom,2.1%
8.,Microsoft,1.9%
9.,Verizon Group,1.8%
9.1.,    Verizon,1.4%
9.2.,    Yahoo,0.4%
9.3.,    Verizon Media,0.3%
10.,OVH,1.6%
11.,Automattic,1.3%
12.,Hetzner,1.1%
13.,Asiatech,0.9%
14.,CenturyLink,0.5%
15.,Oracle,0.5%
16.,Squarespace,0.4%
17.,LeaseWeb Group,0.4%
17.1.,    LeaseWeb,0.4%
18.,IBM,0.4%
19.,NTT Group,0.4%
19.1.,    NTT Communications,0.3%
19.2.,    Netmagic,0.1%
20.,Chunghwa Telecom,0.4%
21.,Neustar,0.4%
22.,GoDaddy Group,0.3%
22.1.,    GoDaddy,0.2%
22.2.,    PlusServer,0.1%
23.,Rackspace,0.3%
24.,Pars Online,0.3%
25.,IDC Frontier,0.3%
26.,Hurricane Electric,0.3%
27.,Baidu,0.3%
28.,China Mobile,0.3%
29.,Newfold Digital,0.2%
29.1.,    Endurance,0.2%
30.,United Internet,0.2%
30.1.,    1&1 IONOS,0.2%
31.,GitHub,0.2%
32.,XBT Holding,0.2%
32.1.,    Servers.com,0.2%
33.,SK Group,0.2%
33.1.,    SK Broadband,0.1%
33.2.,    SK Telecom,0.1%
34.,AT&T,0.2%
35.,Afranet,0.2%
36.,Yandex,0.2%
37.,Cisco,0.2%
38.,Liquid Web,0.1%
39.,Linode,0.1%
40.,REG.RU,0.1%
41.,Internap Group,0.1%
41.1.,    Internap,0.1%
42.,RBC Group,0.1%
42.1.,    RosBusinessConsulting,0.1%
43.,Radore,0.1%
44.,Selectel,0.1%
45.,Sakura,0.1%
46.,Weebly,0.1%
47.,VNPT,0.1%
48.,Hivelocity,0.1%
49.,Scaleway,0.1%
50.,Rostelecom Group,0.1%
50.1.,    RTComm.RU,0.1%
51.,Aruba Group,0.1%
51.1.,    Aruba,0.1%
52.,KT Group,0.1%
52.1.,    KT Corporation,0.1%
53.,Viettel,0.1%
54.,FPT,0.1%
55.,QuadraNet,0.1%
56.,Masterhost,0.1%
57.,TierPoint,0.1%
58.,Exabytes Group,0.1%
58.1.,    Exabytes,0.1%
59.,Pair Networks,0.1%
60.,PS Internet Company,0.1%
61.,Advanced Hosting,0.1%
62.,Hostiran,0.1%
63.,M247,0.1%
64.,Psychz,0.1%
65.,Comcast,0.1%
66.,Performive,0.1%
67.,HKBN,0.1%
68.,Zoho,0.1%
69.,NetEase,0.1%
70.,Turkmentelecom,0.1%
