Data Center Providers,Percentage Top 1,000 Sites
Amazon,25.8%
Google,10.4%
Alibaba,5.2%
China Telecom,3.7%
Microsoft,2.2%
Tencent,2.2%
China Unicom,2.2%
Salesforce,2.2%
Verizon Group,1.9%
Automattic,1.4%
OVH,1.3%
Hetzner,1.2%
Asiatech,0.7%
Rackspace,0.5%
NTT Group,0.5%
CenturyLink,0.5%
Squarespace,0.4%
LeaseWeb Group,0.4%
Oracle,0.4%
Neustar,0.4%
GoDaddy Group,0.3%
United Internet,0.3%
IBM,0.3%
Chunghwa Telecom,0.3%
XBT Holding,0.3%
Pars Online,0.3%
IDC Frontier,0.3%
Performive,0.3%
Afranet,0.3%
Baidu,0.3%
China Mobile,0.3%
Newfold Digital,0.2%
GitHub,0.2%
SK Group,0.2%
AT&T,0.2%
Hurricane Electric,0.2%
SH.cz,0.2%
Yandex,0.2%
Cisco,0.2%
Liquid Web,0.1%
Linode,0.1%
REG.RU,0.1%
Internap Group,0.1%
RBC Group,0.1%
Choopa,0.1%
GMO Internet Group,0.1%
Radore,0.1%
Selectel,0.1%
Weebly,0.1%
Hivelocity,0.1%
Scaleway,0.1%
Rostelecom Group,0.1%
Aruba Group,0.1%
KT Group,0.1%
Viettel,0.1%
Cogeco Group,0.1%
QuadraNet,0.1%
Masterhost,0.1%
Ntirety,0.1%
TierPoint,0.1%
Exabytes Group,0.1%
Pair Networks,0.1%
PS Internet Company,0.1%
Advanced Hosting,0.1%
Hostiserver,0.1%
Hostiran,0.1%
Comcast,0.1%
Psychz,0.1%
Internet Initiative Japan,0.1%
HKBN,0.1%
Zoho,0.1%
