1.,Amazon,23.01%
2.,Google,4.27%
3.,Zendesk,4.08%
4.,Alibaba,3.58%
5.,China Telecom,2.45%
6.,WP Engine Group,2.10%
6.1.,    WP Engine,2.00%
6.2.,    Flywheel,0.10%
7.,OVH,1.94%
8.,Microsoft,1.85%
9.,Hetzner,1.66%
10.,Salesforce,1.43%
11.,Shopify,1.39%
12.,China Unicom,1.32%
13.,Automattic Group,1.28%
13.1.,    Automattic,1.20%
13.2.,    Tumblr,0.09%
14.,Tencent,1.08%
15.,DigitalOcean,0.89%
16.,Verizon Group,0.81%
16.1.,    Verizon,0.76%
16.2.,    Yahoo,0.09%
16.3.,    Verizon Media,0.07%
17.,Netlify,0.68%
18.,LeaseWeb Group,0.57%
18.1.,    LeaseWeb,0.57%
19.,Pantheon,0.55%
20.,Acquia,0.55%
21.,Webflow,0.51%
22.,Asiatech,0.49%
23.,CenturyLink,0.48%
24.,China Mobile,0.47%
25.,HubSpot,0.45%
26.,Linode,0.43%
27.,Rackspace,0.43%
28.,Hurricane Electric,0.43%
29.,GoDaddy Group,0.42%
29.1.,    GoDaddy,0.17%
29.2.,    Host Europe,0.10%
29.3.,    PlusServer,0.09%
29.4.,    Media Temple,0.03%
29.5.,    Domainfactory,0.01%
29.6.,    velia.net,0.01%
30.,XBT Holding,0.40%
30.1.,    Servers.com,0.19%
30.2.,    Webzilla,0.17%
30.3.,    Exepto,0.02%
30.4.,    Fozzy,0.01%
31.,NTT Group,0.39%
31.1.,    NTT Communications,0.16%
31.2.,    Netmagic,0.15%
31.3.,    NTT PC Communications,0.07%
31.4.,    NTT SmartConnect,0.01%
31.5.,    NTT Docomo,0.01%
32.,Selectel,0.36%
33.,KT Group,0.36%
33.1.,    KT Corporation,0.36%
34.,Medium,0.35%
35.,Vercel,0.34%
36.,Kinsta,0.32%
37.,Advanced Hosting,0.30%
38.,United Internet,0.28%
38.1.,    1&1 IONOS,0.23%
38.2.,    Strato,0.03%
38.3.,    Arsys,0.01%
38.4.,    Fasthosts,0.01%
38.5.,    InterNetX,0.01%
39.,IBM,0.28%
40.,Newfold Digital,0.27%
40.1.,    Endurance,0.07%
40.2.,    HostGator,0.05%
40.3.,    Bluehost,0.05%
40.4.,    PublicDomainRegistry,0.05%
40.5.,    Network Solutions,0.03%
40.6.,    TypePad,0.02%
40.7.,    PowWeb,0.01%
41.,Sakura,0.26%
42.,Chunghwa Telecom,0.26%
43.,GitHub,0.25%
44.,LG Group,0.25%
44.1.,    LG U+,0.25%
45.,IDC Frontier,0.25%
46.,Internet Initiative Japan,0.25%
47.,Squarespace,0.24%
48.,Neustar,0.24%
49.,Telefónica Group,0.23%
49.1.,    Telefónica de España,0.07%
49.2.,    acens,0.03%
49.3.,    Telefónica de Argentina,0.03%
49.4.,    Telefónica Brazil,0.03%
49.5.,    Telefónica Chile,0.02%
49.6.,    Telefonica USA,0.01%
49.7.,    Telefónica Deutschland,0.01%
49.8.,    Telefónica Venezolana,0.01%
50.,Internap Group,0.22%
50.1.,    Internap,0.17%
50.2.,    iWeb,0.05%
51.,Oracle,0.22%
52.,Yandex,0.20%
53.,Pagely,0.20%
54.,UCloud,0.19%
55.,VNPT,0.18%
56.,SK Group,0.18%
56.1.,    SK Broadband,0.16%
56.2.,    SK Holdings C&C,0.01%
56.3.,    SK Telecom,0.01%
57.,Scaleway,0.17%
58.,CSC,0.17%
59.,Delta Telecom,0.17%
60.,Liquid Web,0.16%
61.,Contabo,0.16%
62.,Hivelocity,0.16%
63.,Vodafone,0.16%
64.,SiteGround,0.15%
65.,Choopa,0.15%
66.,XServer,0.15%
67.,Deutsche Telekom Group,0.15%
67.1.,    T-Systems,0.06%
67.2.,    Magyar Telekom,0.03%
67.3.,    Slovak Telecom,0.03%
67.4.,    Deutsche Telekom,0.01%
67.5.,    T-Mobile,0.01%
68.,Heroku,0.14%
69.,Afranet,0.14%
70.,Zoho,0.14%
71.,REG.RU,0.12%
72.,Aruba Group,0.12%
72.1.,    Aruba,0.12%
73.,DreamHost,0.11%
74.,InMotion,0.11%
75.,GMO Internet Group,0.11%
75.1.,    GMO Internet,0.05%
75.2.,    GMO Pepabo,0.03%
75.3.,    Lolipop,0.01%
75.4.,    GMO GlobalSign,0.01%
75.5.,    GMO DigiRock,0.01%
76.,Serverel,0.11%
77.,team.blue,0.10%
77.1.,    Natro,0.06%
77.2.,    TransIP,0.02%
77.3.,    Simply Transit,0.01%
77.4.,    Signet,0.01%
78.,Pars Online,0.10%
79.,AT&T,0.10%
80.,Wix,0.09%
81.,First Colo,0.09%
82.,Equinix,0.09%
83.,Namecheap,0.08%
84.,FPT,0.08%
85.,Pair Networks,0.08%
86.,Codero,0.08%
87.,HKBN,0.08%
88.,Presslabs,0.08%
89.,Turkmentelecom,0.08%
90.,Hostinger,0.07%
91.,A2 Hosting,0.07%
92.,Radore,0.07%
93.,Viettel,0.07%
94.,Rostelecom Group,0.07%
94.1.,    Rostelecom,0.06%
94.2.,    RTComm.RU,0.01%
95.,KDDI Group,0.07%
95.1.,    KDDI Corporation,0.07%
96.,Cogent,0.07%
97.,Cnservers,0.07%
98.,NFOrce Entertainment,0.07%
99.,Claranet,0.07%
100.,Gainet,0.07%
101.,Baidu,0.07%
102.,NetEase,0.07%
103.,Wikimedia,0.07%
104.,Bigcommerce,0.06%
105.,Pars Parva System,0.06%
106.,THG Hosting,0.06%
106.1.,    UK-2,0.03%
106.2.,    WestHost,0.01%
106.3.,    Midphase,0.01%
106.4.,    Virtual Internet,0.01%
107.,Limestone Networks,0.06%
