Rank,Data Center Providers,Percentage Top 1,000 Sites
1,Amazon,26.2%
2,Google,10.3%
3,Alibaba,5.1%
4,China Telecom,3.1%
5,China Unicom,2.3%
6,Salesforce,2.3%
7,Microsoft,2.2%
8,Tencent,2.2%
9,Verizon Group,1.8%
9.1,    Verizon,1.4%
9.2,    Yahoo,0.4%
9.3,    Verizon Media,0.3%
10,Automattic,1.4%
11,OVH,1.3%
12,Hetzner,1.1%
13,Asiatech,0.8%
14,NTT Group,0.5%
14.1,    NTT Communications,0.3%
14.2,    Netmagic,0.2%
15,CenturyLink,0.5%
16,Oracle,0.5%
17,GoDaddy Group,0.4%
17.1,    GoDaddy,0.2%
17.2,    Host Europe,0.1%
17.3,    PlusServer,0.1%
18,Squarespace,0.4%
19,Rackspace,0.4%
20,LeaseWeb Group,0.4%
20.1,    LeaseWeb,0.4%
21,IBM,0.4%
22,Neustar,0.4%
23,Chunghwa Telecom,0.3%
24,XBT Holding,0.3%
24.1,    Servers.com,0.2%
24.2,    Webzilla,0.1%
25,Pars Online,0.3%
26,IDC Frontier,0.3%
27,Hurricane Electric,0.3%
28,Performive,0.3%
29,Afranet,0.3%
30,Baidu,0.3%
31,China Mobile,0.3%
32,Newfold Digital,0.2%
32.1,    Endurance,0.2%
33,United Internet,0.2%
33.1,    1&1 IONOS,0.2%
34,GitHub,0.2%
35,SK Group,0.2%
35.1,    SK Broadband,0.1%
35.2,    SK Telecom,0.1%
36,AT&T,0.2%
37,Yandex,0.2%
38,Cisco,0.2%
39,Liquid Web,0.1%
40,Linode,0.1%
41,REG.RU,0.1%
42,Choopa,0.1%
43,Internap Group,0.1%
43.1,    Internap,0.1%
44,RBC Group,0.1%
44.1,    RosBusinessConsulting,0.1%
45,GMO Internet Group,0.1%
45.1,    GMO Internet,0.1%
46,Radore,0.1%
47,Selectel,0.1%
48,Weebly,0.1%
49,VNPT,0.1%
50,Hivelocity,0.1%
51,Scaleway,0.1%
52,Rostelecom Group,0.1%
52.1,    RTComm.RU,0.1%
53,Aruba Group,0.1%
53.1,    Aruba,0.1%
54,KT Group,0.1%
54.1,    KT Corporation,0.1%
55,Viettel,0.1%
56,QuadraNet,0.1%
57,Masterhost,0.1%
58,Ntirety,0.1%
59,TierPoint,0.1%
60,Exabytes Group,0.1%
60.1,    Exabytes,0.1%
61,Pair Networks,0.1%
62,PS Internet Company,0.1%
63,Advanced Hosting,0.1%
64,Hostiserver,0.1%
65,Hostiran,0.1%
66,Comcast,0.1%
67,Psychz,0.1%
68,SH.cz,0.1%
69,Internet Initiative Japan,0.1%
70,HKBN,0.1%
71,Zoho,0.1%
72,NetEase,0.1%
