1.,DigiCert Group,48.55%
1.1.,    DigiCert,48.36%
1.2.,    Verisign,0.19%
2.,IdenTrust,22.42%
3.,GoDaddy Group,15.13%
3.1.,    Starfield,11.45%
3.2.,    GoDaddy,3.83%
4.,Sectigo,13.28%
5.,GlobalSign,9.30%
6.,Entrust,1.86%
7.,Certum,1.75%
8.,Let’s Encrypt,1.49%
9.,Secom Trust,0.90%
10.,WISeKey Group,0.27%
10.1.,    QuoVadis,0.27%
11.,TWCA,0.19%
12.,Trustwave,0.11%
13.,Actalis,0.09%
14.,Deutsche Telekom,0.09%
15.,Certigna,0.08%
16.,Chunghwa Telecom,0.07%
17.,SwissSign,0.06%
18.,D-Trust,0.04%
19.,SSL.com,0.02%
20.,Hongkong Post,0.02%
21.,E-Tugra,0.01%
22.,Logius,0.01%
23.,Buypass,0.01%
24.,NetLock,0.01%
25.,Izenpe,0.01%
26.,Harica,0.01%
27.,AffirmTrust,0.01%
