Rank,Server Locations,Percentage Top 1,000 Sites
1,United States and territories,55.0%
1.1,    United States,55.0%
2,Germany,23.8%
3,France and territories,15.1%
3.1,    France,15.1%
4,China and territories,14.8%
4.1,    China,13.0%
4.2,    Hong Kong,3.2%
5,Russian Federation,8.2%
6,Netherlands and territories,5.4%
6.1,    Netherlands,5.4%
7,Japan,5.2%
8,Singapore,5.0%
9,Ireland,3.6%
10,United Kingdom and territories,3.3%
10.1,    United Kingdom,3.3%
11,Italy,2.8%
12,Iran,2.6%
13,India,2.2%
14,Austria,2.1%
15,South Korea,2.0%
16,Taiwan,1.8%
17,Canada,1.3%
18,Turkey,1.0%
19,Sweden,1.0%
20,Hungary,1.0%
21,Indonesia,0.8%
22,Poland,0.8%
23,Switzerland,0.8%
24,Czech Republic,0.8%
25,Belgium,0.7%
26,Viet Nam,0.4%
27,United Arab Emirates,0.4%
28,Venezuela,0.4%
29,Finland and territories,0.3%
29.1,    Finland,0.3%
30,Brazil,0.3%
31,Kazakhstan,0.3%
32,Luxembourg,0.3%
33,Australia,0.1%
34,Spain,0.1%
35,Thailand,0.1%
36,Israel,0.1%
37,Denmark and territories,0.1%
37.1,    Denmark,0.1%
38,Malaysia,0.1%
39,Greece,0.1%
40,Argentina,0.1%
41,Chile,0.1%
42,Slovakia,0.1%
43,Iceland,0.1%
44,Bosnia and Herzegovina,0.1%
45,Seychelles,0.1%
46,Angola,0.1%
