Amazon,25.8%
Google,10.0%
Alibaba,4.6%
China Telecom,3.3%
Tencent,2.7%
Salesforce,2.4%
China Unicom,2.2%
Microsoft,2.1%
OVH,1.6%
Automattic,1.6%
Verizon Group,1.6%
Hetzner,1.1%
Asiatech,0.7%
IBM,0.5%
NTT Group,0.5%
Oracle,0.5%
Rackspace,0.4%
LeaseWeb Group,0.4%
Chunghwa Telecom,0.4%
IDC Frontier,0.4%
CenturyLink,0.3%
Hurricane Electric,0.3%
Afranet,0.3%
Neustar,0.3%
Baidu,0.3%
China Mobile,0.3%
GoDaddy Group,0.2%
Newfold Digital,0.2%
Squarespace,0.2%
United Internet,0.2%
GitHub,0.2%
Pars Online,0.2%
SK Group,0.2%
Advanced Hosting,0.2%
AT&T,0.2%
Yandex,0.2%
Zenlayer,0.2%
Cisco,0.2%
Namecheap,0.1%
Linode,0.1%
REG.RU,0.1%
DreamHost,0.1%
Contabo,0.1%
Choopa,0.1%
Internap Group,0.1%
RBC Group,0.1%
Radore,0.1%
Weebly,0.1%
VNPT,0.1%
Hivelocity,0.1%
Rostelecom Group,0.1%
Aruba Group,0.1%
Viettel,0.1%
XBT Holding,0.1%
QuadraNet,0.1%
Masterhost,0.1%
TierPoint,0.1%
Exabytes Group,0.1%
Pair Networks,0.1%
PS Internet Company,0.1%
Hostiran,0.1%
Psychz,0.1%
Comcast,0.1%
CSC,0.1%
HKBN,0.1%
Zoho,0.1%
NetEase,0.1%
Turkmentelecom,0.1%
