1.,Amazon,26.9%
2.,Cloudflare,15.1%
3.,Akamai,10.5%
4.,NS1,7.6%
5.,Google,6.7%
6.,Neustar UltraDNS,5.5%
7.,Alibaba Group,3.9%
7.1.,    Alibaba,2.7%
7.2.,    HiChina,1.2%
8.,Tencent,3.9%
9.,Oracle Dyn,3.8%
10.,DNS Made Easy,1.3%
11.,RBC Group,1.1%
11.1.,    RU-Center,1.0%
11.2.,    RosBusinessConsulting,0.1%
12.,Microsoft,0.9%
13.,ClouDNS,0.8%
14.,Verizon Group,0.8%
14.1.,    Verizon,0.6%
14.2.,    Yahoo,0.2%
15.,Automattic,0.6%
16.,CSC,0.6%
17.,Chunghwa Telecom,0.4%
18.,Internet Initiative Japan,0.4%
19.,GoDaddy Group,0.3%
19.1.,    GoDaddy,0.3%
20.,United Internet,0.3%
20.1.,    1&1 IONOS,0.2%
20.2.,    home.pl,0.1%
21.,ArvanCloud,0.3%
22.,DNSimple,0.3%
23.,IBM,0.3%
24.,AT&T,0.3%
25.,Newfold Digital,0.2%
25.1.,    ResellerClub,0.1%
25.2.,    Register.com,0.1%
26.,Cisco,0.2%
27.,Namecheap,0.1%
28.,PA Vietnam,0.1%
29.,Tucows Group,0.1%
29.1.,    eNom,0.1%
30.,Squarespace,0.1%
31.,Yandex,0.1%
32.,Gandi,0.1%
33.,Aruba Group,0.1%
33.1.,    Aruba,0.1%
34.,Choopa,0.1%
35.,Masterhost,0.1%
36.,DNS.com,0.1%
37.,VNPT,0.1%
38.,XinNet,0.1%
39.,Gabia,0.1%
40.,StackPath,0.1%
41.,Asiatech,0.1%
42.,Mail.Ru,0.1%
43.,Total Uptime,0.1%
44.,NetEase,0.1%
