DigiCert Group,52.6%
IdenTrust,16.8%
GlobalSign,16.1%
GoDaddy Group,12.1%
Sectigo,11.5%
Entrust,2.4%
Certum,1.1%
Secom Trust,1.1%
Let’s Encrypt,0.5%
WISeKey Group,0.2%
Deutsche Telekom,0.2%
TWCA,0.2%
Actalis,0.1%
Trustwave,0.1%
SwissSign,0.1%
Certigna,0.1%
