1.,DigiCert Group,47.89%
1.1.,    DigiCert,47.66%
1.2.,    Verisign,0.25%
2.,IdenTrust,23.20%
3.,GoDaddy Group,14.31%
3.1.,    Starfield,10.66%
3.2.,    GoDaddy,3.76%
4.,Sectigo,13.07%
5.,GlobalSign,9.27%
6.,Entrust,1.83%
7.,Certum,1.58%
8.,Secom Trust,0.92%
9.,Let’s Encrypt,0.40%
10.,WISeKey Group,0.27%
10.1.,    QuoVadis,0.27%
11.,TWCA,0.16%
12.,Actalis,0.13%
13.,Trustwave,0.12%
14.,Deutsche Telekom,0.11%
15.,Certigna,0.08%
16.,Chunghwa Telecom,0.06%
17.,SwissSign,0.05%
18.,D-Trust,0.04%
19.,AffirmTrust,0.04%
20.,E-Tugra,0.02%
21.,SSL.com,0.02%
22.,Hongkong Post,0.02%
23.,Buypass,0.01%
24.,Izenpe,0.01%
25.,Harica,0.01%
