Web Hosting Providers,Percentage Top 10,000 Sites
Amazon,22.93%
Zendesk,4.37%
Google,4.18%
Alibaba,3.62%
China Telecom,2.50%
WP Engine Group,2.21%
OVH,1.90%
Microsoft,1.88%
Hetzner,1.62%
Salesforce,1.37%
Shopify,1.36%
China Unicom,1.21%
Automattic Group,1.15%
Tencent,1.05%
DigitalOcean,0.96%
Verizon Group,0.84%
Acquia,0.62%
Netlify,0.59%
Asiatech,0.54%
Pantheon,0.54%
LeaseWeb Group,0.53%
Linode,0.49%
HubSpot,0.49%
Rackspace,0.46%
Hurricane Electric,0.46%
Webflow,0.44%
CenturyLink,0.44%
China Mobile,0.42%
GoDaddy Group,0.41%
NTT Group,0.41%
KT Group,0.40%
XBT Holding,0.38%
Selectel,0.34%
Medium,0.34%
Kinsta,0.33%
Advanced Hosting,0.33%
United Internet,0.32%
Internap Group,0.29%
Sakura,0.29%
Newfold Digital,0.28%
IBM,0.27%
GitHub,0.27%
Vercel,0.27%
Internet Initiative Japan,0.27%
Squarespace,0.26%
LG Group,0.26%
Neustar,0.26%
Scaleway,0.23%
Oracle,0.23%
Liquid Web,0.22%
SH.cz,0.22%
Chunghwa Telecom,0.20%
IDC Frontier,0.20%
UCloud,0.20%
Pagely,0.20%
Telefónica Group,0.18%
VNPT,0.17%
SK Group,0.17%
Vodafone,0.17%
CSC,0.17%
Yandex,0.17%
Hivelocity,0.16%
Deutsche Telekom Group,0.15%
Equinix,0.15%
SiteGround,0.14%
Choopa,0.14%
GMO Internet Group,0.14%
Heroku,0.14%
AT&T,0.14%
Performive,0.14%
Afranet,0.14%
REG.RU,0.12%
InMotion,0.12%
Zoho,0.12%
XServer,0.11%
Pars Online,0.11%
Serverel,0.11%
Delta Telecom,0.11%
Namecheap,0.10%
team.blue,0.10%
DreamHost,0.10%
Contabo,0.10%
Aruba Group,0.10%
Cnservers,0.10%
NFOrce Entertainment,0.10%
KDDI Group,0.09%
Wix,0.08%
Radore,0.08%
Pars Parva System,0.08%
PhoenixNAP,0.08%
Rostelecom Group,0.08%
QuadraNet,0.08%
Pair Networks,0.08%
Baidu,0.08%
Presslabs,0.08%
A2 Hosting,0.07%
Bigcommerce,0.07%
THG Hosting,0.07%
Cogent,0.07%
First Colo,0.07%
HKBN,0.07%
Teléfonos de México,0.07%
NetEase,0.07%
Wikimedia,0.07%
Hostinger,0.06%
FirstVDS,0.06%
Tilda,0.06%
FPT,0.06%
Ntirety,0.06%
Cogeco Group,0.06%
CtrlS,0.06%
Telia Company Group,0.06%
Codero,0.06%
Limestone Networks,0.06%
Claranet,0.06%
Platform.sh,0.06%
Gruppo TIM,0.06%
ServerStack,0.06%
PrivateSystems,0.05%
Viettel,0.05%
Tebyan,0.05%
MiroHost,0.05%
M247,0.05%
Gainet,0.05%
Swisscom Group,0.05%
Colt,0.05%
Voxility,0.05%
Virtual Systems,0.05%
Mail.Ru,0.05%
Forthnet,0.05%
RBC Group,0.03%
Cloudways,0.03%
Steadfast,0.03%
FastVPS,0.03%
uKit Group,0.03%
UpCloud,0.03%
PS Internet Company,0.03%
Zomro,0.03%
Hostiran,0.03%
ServerCentral,0.03%
Flexential,0.03%
MojoHost,0.03%
GigeNET,0.03%
Kazakhtelecom Group,0.03%
Eurofiber Group,0.03%
Grupo GTD,0.03%
OTE,0.03%
Noris network,0.03%
DEAC,0.03%
Neterra,0.03%
Telecom Egypt,0.03%
Atos Group,0.03%
Cisco,0.03%
Apple,0.03%
Weebly,0.02%
Mihan,0.02%
Duda,0.02%
Enartia Group,0.02%
iomart Group,0.02%
Nexcess,0.02%
WPX Hosting,0.02%
Masterhost,0.02%
BanaHosting,0.02%
Exabytes Group,0.02%
TierPoint,0.02%
Faraso Samaneh Pasargad,0.02%
Confluence-Networks,0.02%
EuroByte,0.02%
Hostiserver,0.02%
Cafe24,0.02%
VSHosting,0.02%
Dinahosting,0.02%
Comcast,0.02%
Master Internet,0.02%
Psychz,0.02%
Atman,0.02%
WorldStream,0.02%
SiteSell,0.02%
Tucows Group,0.02%
Expedient,0.02%
KPN Group,0.02%
Casablanca,0.02%
Internet Thailand,0.02%
GleSYS,0.02%
Liberty Global Group,0.02%
New World Telecom,0.02%
Sharktech,0.02%
GlobalConnect,0.02%
NetSuite,0.02%
Irideos,0.02%
True,0.02%
Telekomunikasi Indonesia,0.02%
Ning,0.02%
Biglobe,0.02%
ETECSA,0.02%
Turkmentelecom,0.02%
Hewlett-Packard,0.02%
TimeWeb,0.01%
Aerotek,0.01%
PA Vietnam,0.01%
Xneelo,0.01%
Prom.ua,0.01%
Hoster.by,0.01%
CS LoxInfo,0.01%
InterServer,0.01%
One.com,0.01%
Serverpars,0.01%
Veridyen,0.01%
Infomaniak,0.01%
UKFast,0.01%
Web Werks,0.01%
Gandi,0.01%
CAT Telecom,0.01%
Beltelecom,0.01%
Interneto Vizija,0.01%
Netdirekt,0.01%
ColoCrossing,0.01%
Locaweb,0.01%
Cybercon,0.01%
Bezeq Group,0.01%
CDmon,0.01%
Cellcom,0.01%
Hostpoint,0.01%
Hostwinds,0.01%
Digital Energy Technologies,0.01%
Romarg,0.01%
WebSupport,0.01%
Lightspeed,0.01%
Kagoya,0.01%
Seeweb,0.01%
EGIHosting,0.01%
TheGigabit,0.01%
Filanco,0.01%
Beon Intermedia,0.01%
PTisp,0.01%
VTEX,0.01%
Comvive,0.01%
Sedmi Odjel,0.01%
Serverius,0.01%
Profihost,0.01%
WhoGoHost,0.01%
A1 Telekom Austria Group,0.01%
Nessus,0.01%
IQ PL,0.01%
WebNX,0.01%
Cincinnati Bell Group,0.01%
Pressidium,0.01%
Alwaysdata,0.01%
Webnode,0.01%
Webglobe-Yegon,0.01%
Deninet,0.01%
Lancom,0.01%
CITIC Group,0.01%
Swan,0.01%
Universo Online,0.01%
Kamatera,0.01%
Atlantic Metro,0.01%
Optimum,0.01%
Telecom Algeria,0.01%
GTT,0.01%
Advania,0.01%
Website Pro,0.01%
National DC Mongolia,0.01%
Datagroup,0.01%
Prometey,0.01%
NetCologne,0.01%
Core-Backbone,0.01%
RackSRV,0.01%
ElCat,0.01%
Eweka,0.01%
SK Communications,0.01%
