1.,Amazon,27.3%
2.,Cloudflare,15.5%
3.,Akamai,10.3%
4.,NS1,7.5%
5.,Google,6.6%
6.,Neustar UltraDNS,5.3%
7.,Tencent,4.0%
8.,Alibaba Group,3.7%
8.1.,    Alibaba,2.6%
8.2.,    HiChina,1.1%
9.,Oracle Dyn,3.6%
10.,DNS Made Easy,1.4%
11.,RBC Group,1.1%
11.1.,    RU-Center,1.0%
11.2.,    RosBusinessConsulting,0.1%
12.,ClouDNS,0.9%
13.,Microsoft,0.8%
14.,Verizon Group,0.8%
14.1.,    Verizon,0.6%
14.2.,    Yahoo,0.2%
15.,Automattic,0.6%
16.,CSC,0.4%
17.,Chunghwa Telecom,0.4%
18.,Internet Initiative Japan,0.4%
19.,GoDaddy Group,0.3%
19.1.,    GoDaddy,0.3%
20.,United Internet,0.3%
20.1.,    1&1 IONOS,0.2%
20.2.,    home.pl,0.1%
21.,ArvanCloud,0.3%
22.,IBM,0.3%
23.,AT&T,0.3%
24.,Newfold Digital,0.2%
24.1.,    ResellerClub,0.1%
24.2.,    Register.com,0.1%
25.,DNSimple,0.2%
26.,Cisco,0.2%
27.,team.blue,0.1%
27.1.,    Register.it,0.1%
28.,PA Vietnam,0.1%
29.,Tucows Group,0.1%
29.1.,    eNom,0.1%
30.,Squarespace,0.1%
31.,Yandex,0.1%
32.,Gandi,0.1%
33.,Aruba Group,0.1%
33.1.,    Aruba,0.1%
34.,DNS.com,0.1%
35.,Masterhost,0.1%
36.,XinNet,0.1%
37.,VNPT,0.1%
38.,Gabia,0.1%
39.,StackPath,0.1%
40.,Asiatech,0.1%
41.,Mail.Ru,0.1%
42.,Total Uptime,0.1%
43.,NetEase,0.1%
