Web Hosting Providers,Percentage Top 10,000 Sites
Amazon,22.91%
Zendesk,4.36%
Google,4.19%
Alibaba,3.55%
China Telecom,2.40%
WP Engine Group,2.17%
OVH,1.90%
Microsoft,1.90%
Hetzner,1.68%
Salesforce,1.41%
Shopify,1.39%
China Unicom,1.25%
Automattic Group,1.18%
Tencent,1.08%
DigitalOcean,0.94%
Verizon Group,0.83%
Netlify,0.62%
Acquia,0.61%
LeaseWeb Group,0.53%
Pantheon,0.53%
Asiatech,0.51%
HubSpot,0.49%
Webflow,0.47%
Rackspace,0.45%
Hurricane Electric,0.45%
Linode,0.44%
China Mobile,0.44%
GoDaddy Group,0.43%
NTT Group,0.41%
CenturyLink,0.41%
KT Group,0.40%
XBT Holding,0.39%
Selectel,0.36%
Kinsta,0.34%
Medium,0.34%
Advanced Hosting,0.33%
United Internet,0.31%
Sakura,0.30%
IBM,0.30%
GitHub,0.30%
Newfold Digital,0.28%
Internap Group,0.28%
Vercel,0.28%
Squarespace,0.26%
LG Group,0.26%
Internet Initiative Japan,0.26%
Neustar,0.24%
Scaleway,0.23%
IDC Frontier,0.23%
Oracle,0.23%
Chunghwa Telecom,0.22%
Liquid Web,0.20%
Telefónica Group,0.20%
UCloud,0.20%
Pagely,0.20%
Yandex,0.19%
VNPT,0.18%
CSC,0.18%
SK Group,0.17%
Vodafone,0.16%
Hivelocity,0.15%
Deutsche Telekom Group,0.15%
REG.RU,0.14%
GMO Internet Group,0.14%
Heroku,0.14%
AT&T,0.14%
Performive,0.14%
SH.cz,0.14%
SiteGround,0.12%
Namecheap,0.12%
Contabo,0.12%
InMotion,0.12%
Choopa,0.12%
Afranet,0.12%
Equinix,0.12%
Zoho,0.12%
Delta Telecom,0.12%
XServer,0.11%
Pars Online,0.11%
Serverel,0.11%
DreamHost,0.10%
Aruba Group,0.10%
Cnservers,0.10%
NFOrce Entertainment,0.10%
team.blue,0.09%
Rostelecom Group,0.09%
Pair Networks,0.09%
KDDI Group,0.09%
Wix,0.08%
Baidu,0.08%
NetEase,0.08%
Presslabs,0.08%
A2 Hosting,0.07%
Radore,0.07%
Pars Parva System,0.07%
PhoenixNAP,0.07%
QuadraNet,0.07%
THG Hosting,0.07%
First Colo,0.07%
HKBN,0.07%
Wikimedia,0.07%
Hostinger,0.06%
Bigcommerce,0.06%
Tilda,0.06%
Viettel,0.06%
FPT,0.06%
Ntirety,0.06%
Cogent,0.06%
CtrlS,0.06%
Telia Company Group,0.06%
Codero,0.06%
Claranet,0.06%
Limestone Networks,0.06%
Platform.sh,0.06%
Gruppo TIM,0.06%
ServerStack,0.06%
Cloudways,0.05%
FirstVDS,0.05%
MiroHost,0.05%
Cogeco Group,0.05%
UpCloud,0.05%
uKit Group,0.05%
Gainet,0.05%
Colt,0.05%
Voxility,0.05%
Teléfonos de México,0.05%
Mail.Ru,0.05%
Forthnet,0.05%
Turkmentelecom,0.05%
RebelMouse,0.05%
RBC Group,0.03%
PrivateSystems,0.03%
Steadfast,0.03%
Zomro,0.03%
Hostiran,0.03%
ServerCentral,0.03%
M247,0.03%
MojoHost,0.03%
Swisscom Group,0.03%
GigeNET,0.03%
Kazakhtelecom Group,0.03%
Eurofiber Group,0.03%
Grupo GTD,0.03%
OTE,0.03%
Noris network,0.03%
Virtual Systems,0.03%
DEAC,0.03%
Telecom Egypt,0.03%
Atos Group,0.03%
Biglobe,0.03%
Cisco,0.03%
Apple,0.03%
Weebly,0.02%
Mihan,0.02%
Duda,0.02%
Enartia Group,0.02%
Tebyan,0.02%
iomart Group,0.02%
Nexcess,0.02%
WPX Hosting,0.02%
Masterhost,0.02%
BanaHosting,0.02%
Exabytes Group,0.02%
TierPoint,0.02%
FastVPS,0.02%
Faraso Samaneh Pasargad,0.02%
Confluence-Networks,0.02%
PS Internet Company,0.02%
EuroByte,0.02%
Hostiserver,0.02%
Cafe24,0.02%
VSHosting,0.02%
Dinahosting,0.02%
Flexential,0.02%
Cellcom,0.02%
Comcast,0.02%
Master Internet,0.02%
Psychz,0.02%
Atman,0.02%
WorldStream,0.02%
SiteSell,0.02%
Tucows Group,0.02%
Expedient,0.02%
KPN Group,0.02%
Internet Thailand,0.02%
Casablanca,0.02%
GleSYS,0.02%
Liberty Global Group,0.02%
Sharktech,0.02%
NetSuite,0.02%
True,0.02%
Irideos,0.02%
Telekomunikasi Indonesia,0.02%
Neterra,0.02%
Ning,0.02%
Hewlett-Packard,0.02%
TimeWeb,0.01%
Güzel Hosting,0.01%
Aerotek,0.01%
PA Vietnam,0.01%
Xneelo,0.01%
Prom.ua,0.01%
Hoster.by,0.01%
CS LoxInfo,0.01%
InterServer,0.01%
One.com,0.01%
Serverpars,0.01%
Veridyen,0.01%
GreenWeb,0.01%
Infomaniak,0.01%
Web Werks,0.01%
Gandi,0.01%
CAT Telecom,0.01%
Beltelecom,0.01%
Interneto Vizija,0.01%
Hostland,0.01%
Netdirekt,0.01%
ColoCrossing,0.01%
Locaweb,0.01%
Bezeq Group,0.01%
CDmon,0.01%
Hostpoint,0.01%
Hostwinds,0.01%
Romarg,0.01%
WebSupport,0.01%
Digital Energy Technologies,0.01%
Lightspeed,0.01%
Kagoya,0.01%
Seeweb,0.01%
TheGigabit,0.01%
Filanco,0.01%
EGIHosting,0.01%
Beon Intermedia,0.01%
PTisp,0.01%
VTEX,0.01%
Comvive,0.01%
New World Telecom,0.01%
Serverius,0.01%
Profihost,0.01%
GlobalConnect,0.01%
A1 Telekom Austria Group,0.01%
WhoGoHost,0.01%
Nessus,0.01%
IQ PL,0.01%
WebNX,0.01%
Cincinnati Bell Group,0.01%
Micron21,0.01%
Pressidium,0.01%
HopOne,0.01%
Alwaysdata,0.01%
Webnode,0.01%
Webglobe-Yegon,0.01%
Lancom,0.01%
Deninet,0.01%
Swan,0.01%
Universo Online,0.01%
OverBlog,0.01%
Kamatera,0.01%
Atlantic Metro,0.01%
Optimum,0.01%
Telecom Algeria,0.01%
Advania,0.01%
GTT,0.01%
Servebolt,0.01%
Website Pro,0.01%
National DC Mongolia,0.01%
Datagroup,0.01%
NetCologne,0.01%
Prometey,0.01%
ETECSA,0.01%
Core-Backbone,0.01%
RackSRV,0.01%
ElCat,0.01%
XinNet,0.01%
SK Communications,0.01%
