Rank,Web Hosting Providers,Percentage Top 1,000 Sites
1,Amazon,25.1%
2,Google,9.4%
3,Zendesk,6.1%
4,Alibaba,5.3%
5,China Telecom,3.5%
6,WP Engine Group,2.3%
6.1,    WP Engine,2.2%
6.2,    Flywheel,0.1%
7,China Unicom,2.3%
8,Salesforce,2.3%
9,Tencent,2.2%
10,Microsoft,2.1%
11,Verizon Group,1.8%
11.1,    Verizon,1.4%
11.2,    Yahoo,0.4%
11.3,    Verizon Media,0.3%
12,Shopify,1.5%
13,Automattic Group,1.4%
13.1,    Automattic,1.2%
13.2,    Tumblr,0.3%
14,OVH,1.3%
15,Hetzner,1.1%
16,Acquia,1.1%
17,China Mobile,1.0%
18,Asiatech,0.8%
19,CenturyLink,0.8%
20,NTT Group,0.5%
20.1,    NTT Communications,0.3%
20.2,    Netmagic,0.2%
21,Pantheon,0.5%
22,Medium,0.5%
23,GoDaddy Group,0.4%
23.1,    GoDaddy,0.2%
23.2,    Host Europe,0.1%
23.3,    PlusServer,0.1%
24,Squarespace,0.4%
25,LeaseWeb Group,0.4%
25.1,    LeaseWeb,0.4%
26,IBM,0.4%
27,GitHub,0.4%
28,HubSpot,0.4%
29,Oracle,0.4%
30,Newfold Digital,0.3%
30.1,    HostGator,0.1%
30.2,    Endurance,0.1%
30.3,    TypePad,0.1%
31,Rackspace,0.3%
32,Netlify,0.3%
33,Kinsta,0.3%
34,Chunghwa Telecom,0.3%
35,KT Group,0.3%
35.1,    KT Corporation,0.3%
36,XBT Holding,0.3%
36.1,    Servers.com,0.2%
36.2,    Webzilla,0.1%
37,Pars Online,0.3%
38,SK Group,0.3%
38.1,    SK Broadband,0.2%
38.2,    SK Telecom,0.1%
39,IDC Frontier,0.3%
40,Hurricane Electric,0.3%
41,Performive,0.3%
42,Afranet,0.3%
43,Baidu,0.3%
44,Neustar,0.3%
45,Wikimedia,0.3%
46,Wix,0.2%
47,United Internet,0.2%
47.1,    1&1 IONOS,0.2%
48,Webflow,0.2%
49,AT&T,0.2%
50,Comcast,0.2%
51,Yandex,0.2%
52,Mail.Ru,0.2%
53,ServerStack,0.2%
54,Cisco,0.2%
55,Liquid Web,0.1%
56,REG.RU,0.1%
57,RBC Group,0.1%
57.1,    RosBusinessConsulting,0.1%
58,Choopa,0.1%
59,GMO Internet Group,0.1%
59.1,    ConoHa,0.1%
60,Internap Group,0.1%
60.1,    Internap,0.1%
61,Weebly,0.1%
62,Selectel,0.1%
63,VNPT,0.1%
64,Scaleway,0.1%
65,Hivelocity,0.1%
66,Aruba Group,0.1%
66.1,    Aruba,0.1%
67,Tilda,0.1%
68,Radore,0.1%
69,Viettel,0.1%
70,Vercel,0.1%
71,Masterhost,0.1%
72,Rostelecom Group,0.1%
72.1,    RTComm.RU,0.1%
73,Heroku,0.1%
74,Exabytes Group,0.1%
74.1,    Exabytes,0.1%
75,TierPoint,0.1%
76,QuadraNet,0.1%
77,LG Group,0.1%
77.1,    LG U+,0.1%
78,Pair Networks,0.1%
79,PS Internet Company,0.1%
80,KDDI Group,0.1%
80.1,    KDDI Corporation,0.1%
81,Advanced Hosting,0.1%
82,Hostiserver,0.1%
83,Hostiran,0.1%
84,Psychz,0.1%
85,UCloud,0.1%
86,SH.cz,0.1%
87,Internet Initiative Japan,0.1%
88,Platform.sh,0.1%
89,HKBN,0.1%
90,NFOrce Entertainment,0.1%
91,Zoho,0.1%
92,Grupo GTD,0.1%
92.1,    Gtd Teleductos,0.1%
93,NetSuite,0.1%
94,HopOne,0.1%
95,Webglobe-Yegon,0.1%
96,Universo Online,0.1%
97,Advania,0.1%
98,NetEase,0.1%
99,RackSRV,0.1%
100,Hewlett-Packard,0.1%
101,Apple,0.1%
